DATE,CPI,UNRATE,IMPORTS,EXPORTS,GDP,year,INFLATION,INFLATION_LAGGED,TRADE,TRADE_GDP,UNRATE_c,TRADE_GDP_c,UNRATE_x_TRADE
1957-04-01,27.93,3.9,20.27,24.369,3205.97,1957,3.983618763961272,2.709725315515965,44.638999999999996,1.392371107652286,-1.9145833333333333,-11.905864391281048,22.794769532473506
1957-07-01,28.19,4.2,19.762,23.759,3237.386,1957,4.951600893521979,3.983618763961272,43.521,1.344325329139003,-1.614583333333333,-11.95391016979433,19.30058412831376
1957-10-01,28.32,4.5,19.634,23.022,3203.894,1957,5.988023952095811,4.951600893521979,42.656,1.3313798771120393,-1.3145833333333332,-11.966855621821294,15.731428952852575
1958-01-01,28.64,5.8,19.455,20.534,3120.724,1958,6.985431453119162,5.988023952095811,39.989,1.2814013671186557,-0.014583333333333393,-12.016834131814678,0.17524549775563142
1958-04-01,28.94,7.4,20.075,20.546,3141.224,1958,8.025382605449805,6.985431453119162,40.620999999999995,1.293158335731549,1.5854166666666671,-12.005077163201785,-19.0330494191595
1958-07-01,28.89,7.5,19.739,20.595,3213.884,1958,7.959641255605376,8.025382605449805,40.334,1.2549924017170502,1.6854166666666668,-12.043243097216283,-20.297882636766612
1958-10-01,28.91,6.7,20.823,20.563,3289.032,1958,7.792692020879932,7.959641255605376,41.385999999999996,1.25830335490807,0.885416666666667,-12.039932144025263,-10.660356585855705
1959-01-01,29.01,6.0,21.396,21.915,3352.129,1959,8.125232948192341,7.792692020879932,43.311,1.2920445484049092,0.18541666666666679,-12.006190950528424,-2.22614790541048
1959-04-01,28.98,5.2,22.544,21.776,3427.667,1959,7.61232825844782,8.125232948192341,44.32,1.2930077513364047,-0.614583333333333,-12.00522774759693,7.378212886543943
1959-07-01,29.15,5.1,22.868,24.079,3430.057,1959,6.815683400513017,7.61232825844782,46.947,1.3686944560979601,-0.7145833333333336,-11.929541042835373,8.524651203526114
1959-10-01,29.35,5.7,22.504,23.131,3439.832,1959,6.688476917484554,6.815683400513017,45.635000000000005,1.326663627758565,-0.11458333333333304,-11.971571871174769,1.371742610238772
1960-01-01,29.37,5.2,23.288,26.145,3517.181,1960,6.143838091796172,6.688476917484554,49.433,1.4054721664878775,-0.614583333333333,-11.892763332445456,7.3090941313987665
1960-04-01,29.54,5.2,23.455,26.85,3498.246,1960,5.7644110275689275,6.143838091796172,50.305,1.4380063609020062,-0.614583333333333,-11.860229138031327,7.289099157748416
1960-07-01,29.55,5.5,22.879,27.561,3515.385,1960,4.824405817665833,5.7644110275689275,50.44,1.4348357292302265,-0.3145833333333332,-11.863399769703108,3.7320278442191013
1960-10-01,29.75,6.1,21.742,27.622,3470.278,1960,5.0494350282485945,4.824405817665833,49.364000000000004,1.422479697591951,0.28541666666666643,-11.875755801341382,-3.3895386349661836
1961-01-01,29.84,6.6,21.658,27.56,3493.703,1961,4.189944134078205,5.0494350282485945,49.218,1.4087631375649277,0.7854166666666664,-11.889472361368407,-9.338189750491434
1961-04-01,29.81,7.0,21.899,26.627,3553.021,1961,3.006219765031082,4.189944134078205,48.525999999999996,1.365767328704221,1.1854166666666668,-11.932468170229113,-14.144946643459095
1961-07-01,29.92,7.0,23.326,27.779,3621.252,1961,3.5652474904811493,3.006219765031082,51.105000000000004,1.4112522409376649,1.1854166666666668,-11.886983257995668,-14.0910280704157
1961-10-01,29.98,6.5,23.87,28.442,3692.289,1961,3.7011414735385717,3.5652474904811493,52.312,1.416790505835269,0.6854166666666668,-11.881444993098064,-8.143740422352632
1962-01-01,30.04,5.8,24.314,28.325,3758.147,1962,3.5504998276456368,3.7011414735385717,52.638999999999996,1.4006636781371244,-0.014583333333333393,-11.897571820796209,0.1735062557199454
1962-04-01,30.21,5.6,24.884,29.662,3792.149,1962,4.244306418219468,3.5504998276456368,54.546,1.4383928479603518,-0.21458333333333357,-11.859842650972983,2.544924568854622
1962-07-01,30.22,5.4,25.111,29.593,3838.776,1962,3.6706689536878168,4.244306418219468,54.704,1.4250375640568766,-0.41458333333333286,-11.873197934876456,4.922429977167526
1962-10-01,30.38,5.4,25.55,28.683,3851.421,1962,3.509369676320273,3.6706689536878168,54.233000000000004,1.4081296228067512,-0.41458333333333286,-11.890105876126583,4.929439727810807
1963-01-01,30.44,5.7,25.185,29.161,3893.482,1963,3.643173306094649,3.509369676320273,54.346000000000004,1.3958199883805806,-0.11458333333333304,-11.902415510552753,1.3638184439174994
1963-04-01,30.48,5.7,25.89,31.448,3937.183,1963,3.182125930941093,3.643173306094649,57.338,1.4563204199550797,-0.11458333333333304,-11.841915078978253,1.356886102799588
1963-07-01,30.69,5.6,26.704,31.215,4023.755,1963,3.8578680203045668,3.182125930941093,57.919,1.4394266052480829,-0.21458333333333357,-11.85880889368525,2.544702741769963
1963-10-01,30.75,5.5,26.764,32.474,4050.147,1963,3.3613445378151363,3.8578680203045668,59.238,1.4626135792108288,-0.3145833333333332,-11.835621919722506,3.7232893955793704
1964-01-01,30.94,5.6,26.978,34.192,4135.553,1964,3.686327077747986,3.3613445378151363,61.17,1.479125040834926,-0.21458333333333357,-11.819110458098407,2.5361841191336194
1964-04-01,30.95,5.3,27.726,34.03,4180.592,1964,3.824220060382433,3.686327077747986,61.756,1.477207055842809,-0.5145833333333334,-11.821028443090524,6.082904219673666
1964-07-01,31.02,4.9,28.429,35.375,4245.918,1964,3.676470588235281,3.824220060382433,63.804,1.502713900739487,-0.9145833333333329,-11.795521598193847,10.78798746168145
1964-10-01,31.12,5.1,29.285,36.48,4259.046,1964,3.8025350233489075,3.676470588235281,65.765,1.5441251397613456,-0.7145833333333336,-11.754110359171989,8.399291360824986
